ID,Cena,localization,latitude,longitude,Oferta_od,Kategoria,Marka_pojazdu,Model_pojazdu,Rodzaj_paliwa,Moc,Pojemnosc_skokowa,Liczba_drzwi,Skrzynia_biegow,Wersja,Generacja,Segment,Kolor,Przebieg,Rok_produkcji,Naped,Spalanie_W_Miescie,Typ_nadwozia,Emisja_CO2,Liczba_miejsc,Rodzaj_koloru,Kraj_pochodzenia,Pierwszy_wlasciciel,Bezwypadkowy,Serwisowany_w_ASO,Stan,VAT_marza,Pierwsza_rejestracja,Numer_rejestracyjny_pojazdu,Zarejestrowany_w_Polsce,Filtr_czastek_stalych,Tuning,Mozliwosc_finansowania,Uszkodzony,Faktura_VAT,Spalanie_W_Cyklu_Mieszanym,Spalanie_Poza_Miastem,Okres_gwarancji_producenta,Leasing,Miesieczna_rata,lub_do_przebieg_km,Gwarancja_dealerska_w_cenie,Homologacja_ciezarowa,Oplata_poczatkowa,Liczba_pozostalych_rat,Wartosc_wykupu,Kierownica_po_prawej_Anglik,Zarejestrowany_jako_zabytek,Link
6085019889,89900.0,,,,Firmy,Osobowe,Abarth,124,Benzyna,170,1368,2,Manualna,1.4 MultiAir,,,Czarny,7800,2016,Na tylne koła,8,Kabriolet,148,2,Metalik,Stany Zjednoczone,,,,Używane,Tak,,,Tak,,,Tak,,,6,5,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-124-abarth-spider-europejska-nawigacja-kamera-manual-ID6DO7E5.html#49f0648cc2
6088940885,9999.0,"Jarocin, jarociński, Wielkopolskie",51.9738992,17.5011225,Osoby prywatnej,Osobowe,Abarth,Grande Punto,Benzyna+LPG,95,1368,5,Manualna,,,,Niebieski,175000,2009,Na przednie koła,,Auta miejskie,,5,Metalik,Niemcy,,Tak,Tak,Używane,Tak,29/05/2009,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-grande-punto-fiat-punto-1-4-benzyna-plus-instalacja-lpg-zadbany-bezwypadkowy-ID6E4zFX.html#49f0648cc2
6088120797,93500.0,,,,Firmy,Osobowe,Abarth,595,Benzyna,145,1368,3,Manualna,,,,Żółty,1,2021,Na przednie koła,,Auta małe,,4,,,,Tak,,Nowe,,,,,,,Tak,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-595-1-4-t-jet-145km-zolty-modena-ID6E18kJ.html#49f0648cc2
6089368984,110990.0,,,,Firmy,Osobowe,Abarth,595,Benzyna,165,1368,3,Automatyczna,,,,Czarny,5,2021,Na przednie koła,,Kompakt,,4,Metalik,,,Tak,,Nowe,Tak,,,,,,Tak,,Tak,,,,Tak,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-f595-2021r-od-reki-bi-ksenon-wydech-record-monza-klimatyzacja-autom-ID6E6n2M.html#49f0648cc2
6085005657,95500.0,"Roździeńskiego 170 - 40-203 Katowice, Zawodzie (Polska)",50.2620268,19.044077,Firmy,Osobowe,Abarth,595,Benzyna,107,1368,4,Manualna,,,,Szary,1,2021,,,Auta małe,,5,,,,Tak,,Nowe,Tak,,,,,,Tak,,Tak,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-595-cabrio-1-4-16v-t-jet-145-km-2021-ID6DO3Vx.html#49f0648cc2
6089203305,38900.0,"Starowiejska  - 32-608 Osiek, oświęcimski, Małopolskie (Polska)",49.9478717,19.2826536,Firmy,Osobowe,Abarth,500,Benzyna,145,1368,3,Manualna,595 1.4 T-Jet 16v,,,Biały,112050,2011,Na przednie koła,,Auta małe,,4,Metalik,,,,,Używane,Tak,,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-500-oryginalny-abarth-500-c-1-4-cabrio-ID6E5FVx.html#49f0648cc2
6088858961,89990.0,"Starachowice, starachowicki, Świętokrzyskie",51.03844825,21.0820435436384,Osoby prywatnej,Osobowe,Abarth,695,Benzyna,180,1400,2,Manualna,,,,Inny kolor,59000,2018,,,Auta małe,,,,Luksemburg,,Tak,Tak,Używane,,,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-695-rivale-limited-175-sztuk-akrapovic-ID6E4emB.html#49f0648cc2
6088331767,34900.0,"Poznańska 78 - 63-400 Ostrów Wielkopolski, ostrowski, Wielkopolskie (Polska)",51.66842575,17.80055275421276,Firmy,Osobowe,Abarth,500,Benzyna,135,1400,3,Manualna,,,,Biały,125901,2008,Na przednie koła,,Auta małe,155,4,Metalik,,,,,Używane,Tak,,,,,,Tak,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-500-abarth-500-piekny-i-szybki-gwarancja-finansowanie-ID6E21dt.html#49f0648cc2
6084573861,65000.0,"Lublin, Lubelskie",51.218194499999996,22.554677565192677,Osoby prywatnej,Osobowe,Abarth,595,Benzyna,145,1368,2,Manualna,,,,Żółty,12000,2019,Na przednie koła,,Auta małe,154,4,Metalik,Polska,Tak,Tak,Tak,Używane,,,,Tak,,,,,Tak,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-abarth-595-1-4-16v-t-jet-145-km-elaborabile-zolty-ID6DMfC5.html#49f0648cc2
6088273086,31900.0,"Witkowo, gnieźnieński, Wielkopolskie",52.4395881,17.7725138,Osoby prywatnej,Osobowe,Abarth,500,Benzyna,135,1400,3,Manualna,,,,Biały,99200,2009,Na przednie koła,,Coupe,,,Perłowy,,,,,Używane,,,,Tak,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-500-1-4-turbo-ID6E1LX0.html#49f0648cc2
